Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
"Beet, sugar",Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,2,15,4,no,"30,000",cuttings/ha,120-150,Days,15,6,31,8,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Bergamot,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,3,30,9,no,"1,111",suckers/ha,15-18,Months,15,6,30,4,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
"Wheat, bread",Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",1,9,31,10,no,100-120,kg/ha,90-130,Days,28,2,31,3,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
"Wheat, bread",Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",1,3,15,4,no,100-120,kg/ha,90-130,Days,31,7,31,8,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Corn,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",15,9,30,8,no,40-45,kg/ha,100-120,Days,1,1,31,1,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Corn,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",1,2,15,3,no,40-45,kg/ha,100-120,Days,1,6,15,7,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Sorghum,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",1,12,31,1,no,5-10,kg/ha,90-180,Days,1,5,31,7,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Sorghum,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",1,9,31,10,no,5-10,kg/ha,90-180,Days,1,1,28,2,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Rice,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",1,2,31,3,no,80-100,plantlents/ha,90-120,Days,1,5,30,6,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Rice,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",15,9,31,10,no,80-100,plantlents/ha,90-120,Days,1,1,28,2,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Bean,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",15,9,31,10,no,50-70,kg/ha,100-120,Days,15,12,15,1,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Bean,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",15,2,31,3,no,50-70,kg/ha,100-120,Days,15,5,30,1,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Beet,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",15,2,31,3,no,75-90,kg/ha,100-120,Days,31,5,30,6,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
Beet,Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",15,9,31,10,no,75-90,kg/ha,100-120,Days,15,12,15,1,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
"Pea, dry",Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",1,2,15,3,no,120-150,gr/ha,90-150 ,Days,1,6,15,8,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
"Pea, dry",Central Plateau,"Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.",15,9,30,10,no,120-150,kg/ha,90-150 ,Days,15,1,28,2,"The central Plateau is characterized by hills and valleys. The eastern part distinguishes itself by the granitic parent rock material (Granitic Ridge). The Central Plateau is suitable for a wide range of crops adapted to the relatively low temperatures, however, soil conservation of the humus-bearing horizon is essential. Annual rainfall is between 800 to 1,200mm, with generally more rainfall in the West. Mean annual temperature 19-21 ̊C. Dry season lasts for two months, apart from the Southeast, where a dry season of three months is more common.","Population increases have resulted in pressure on the land, resulting in cultivation of small plots for most farmers. The soils of the Central Plateau have a high potential for a wide range of crops. Crop cultivation on the Granitic Ridge is mainly concentrated on the concave hillslopes, while the convex ridges are used for pasture and forest. In the Southeast, the soils are strongly variable, with humus-rich, gravelly soils on the upper slopes and more fertile and younger soils on the foot of the hillslopes. Slope gradients increase significantly in the South, where forestry is the only advised land use. Moderately deep soils. Main limitations are erosion risks and low water availability. Management for erosion prevention is usually required. Most important crops: sorghum, sweet potato, cassava and beans.","South Rulindo, Gakenke, Muhanga, Kamonyi, Ruhango, Nyanza, Huye, Gisagara, Northeast Nyamagabe, East Nyaruguru",,,,,,
